commodity,stock,lag_days,n_obs,expected_direction,pearson,pearson_stable,spearman,dcor,pearson_nifty50_neutral,pearson_nifty500_neutral,pearson_usdinr_component
gold,TITAN.NS,5,478,negative,-0.036,False,-0.036,0.083,-0.059,-0.052,-0.021
gold,TITAN.NS,6,477,negative,-0.032,False,-0.026,0.069,-0.082,-0.09,-0.013
gold,TITAN.NS,7,476,negative,-0.074,True,-0.056,0.115,-0.047,-0.022,0.065
gold,SBIN.NS,0,483,positive,0.109,False,0.099,0.132,0.037,0.021,-0.089
gold,SBIN.NS,1,482,positive,0.054,False,-0.003,0.095,-0.005,-0.004,0.07
gold,SBIN.NS,2,481,positive,-0.024,False,0.009,0.09,-0.007,-0.016,-0.066
gold,SBIN.NS,3,480,positive,-0.038,False,-0.022,0.071,-0.023,-0.011,-0.001
gold,SBIN.NS,4,479,positive,0.121,False,0.067,0.124,0.128,0.142,-0.06
gold,SBIN.NS,5,478,positive,0.05,False,0.07,0.112,0.045,0.034,0.057
gold,SBIN.NS,6,477,positive,-0.019,False,0.03,0.083,-0.052,-0.042,-0.1
gold,SBIN.NS,7,476,positive,-0.107,True,-0.114,0.127,-0.044,-0.034,-0.002
gold,HDFCBANK.NS,0,483,positive,0.071,False,-0.001,0.09,-0.035,-0.032,-0.184
gold,HDFCBANK.NS,1,482,positive,0.073,False,0.066,0.097,0.021,0.032,0.072
gold,HDFCBANK.NS,2,481,positive,-0.022,False,0.002,0.087,-0.03,-0.035,-0.097
gold,HDFCBANK.NS,3,480,positive,-0.001,False,0.037,0.106,0.038,0.044,0.056
gold,HDFCBANK.NS,4,479,positive,0.023,False,-0.001,0.082,0.019,0.051,-0.063
gold,HDFCBANK.NS,5,478,positive,0.035,False,0.023,0.1,0.043,0.02,0.098
gold,HDFCBANK.NS,6,477,positive,0.112,False,0.08,0.109,0.082,0.088,-0.021
gold,HDFCBANK.NS,7,476,positive,-0.086,True,-0.106,0.126,-0.019,-0.033,-0.012
gold,ICICIBANK.NS,0,483,positive,0.046,False,-0.001,0.093,-0.052,-0.049,-0.113
gold,ICICIBANK.NS,1,482,positive,0.098,False,0.095,0.116,0.049,0.055,-0.008
gold,ICICIBANK.NS,2,481,positive,-0.049,False,0.026,0.079,-0.052,-0.058,-0.041
gold,ICICIBANK.NS,3,480,positive,-0.004,False,0.039,0.091,0.028,0.029,-0.044
gold,ICICIBANK.NS,4,479,positive,0.007,False,-0.025,0.082,-0.018,-0.005,0.013
gold,ICICIBANK.NS,5,478,positive,0.018,False,0.072,0.106,0.011,-0.011,0.048
gold,ICICIBANK.NS,6,477,positive,0.029,False,0.013,0.076,-0.026,0.007,-0.062
gold,ICICIBANK.NS,7,476,positive,-0.027,False,-0.051,0.088,0.045,0.04,0.008
silver,HINDZINC.NS,0,483,positive,0.363,True,0.276,0.285,0.352,0.351,-0.08
silver,HINDZINC.NS,1,482,positive,0.266,True,0.264,0.26,0.254,0.247,0.047
silver,HINDZINC.NS,2,481,positive,-0.071,False,-0.028,0.088,-0.042,-0.039,-0.089
